tablespoon	measuring
fire	cook
bullet	wounding
living	enjoyment
statue	imortalize
clothing	advertise
whore	sex
cloud	shade
clarinet	playing
fiddle	bowing
whips	hit
home	shelter
learning	maturing
cannon	battle
lamp	light
harpsichord	music
lying	harming
celebrating	winning
people	work
copulating	procreating
pit	trap
castle	fun
labeler	identification
gallery	exibition
cafe	relaxing
oil	car
necklace	gifts
monument	decoration
line	pickup
fireplace	warmth
sword	sticking
teaspoon	measuring
highway	travel
thinking	deliberating
inference	understanding
machine	perform
tearoom	gossiping
moon	tides
stranger	avoiding
rifle	protection
quartz	watches
kissing	symbolism
knife	piercing
cotton	bedding
leather	tanning
kissing	affection
motorcycle	rush
boulevard	city
literature	learning
shirts	wearing
ears	hearing
bread	consumption
health	everyone
album	hearer
gold	jewelry
toilet	shitting
linoleum	kitchens
net	fishing
bureau	storage
magazines	reading
paper	communication
link	connection
stick	support
brains	think
bay	polluting
buying	consumption
castanets	rythym
horn	honking
notepad	doodling
sun	light
bomb	detonate
handle	lifting
track	races
skyscraper	cities
can	food
smoking	ham
wound	bleeding
relaxing	evening
surprising	shock
bank	robberies
confetti	throwing
clippers	race
couch	furniture
muscle	flexing
bean	cooking
arm	saluting
flirting	dating
magic	entertainment
fishing	relaxation
gymnastics	gymnasts
convicts	boredom
cigarette	smoking
feather	tickling
body	assist
explosive	war
material	making
surfing	thrills
eraser	erasing
typing	fun
knife	untangling
library	discovering
arena	fighting
basket	kittens
eye	looking
shampoo	hair
lens	microscope
platform	presentation
weapon	threatening
chain	secure
refill	soda
dollar	buying
gas	cooking
running	exercise
reception	celebrate
sonar	oceanography
horn	beeping
tongue	tasting
fishing	outdoorsmen
book	impressing
bullet	murder
pistol	train
wood	skis
skin	protectin
carpeting	decoration
weapon	hunting
weapons	threaten
pool	pee
club	beat
saw	sawing
light	sight
ink	marking
religion	weak
kingdom	rule
marker	coloring
page	reading
bureau	sachets
duvet	sleep
baritone	blowing
airplane	cargo
fireplace	decoration
jail	criminals
bicycle	excersize
feather	flight
mirror	reflect
pretending	lying
bleach	whitening
scale	balancing
smoking	contaminate
foot	sprinting
cloth	clothe
eating	life
lips	licking
airplane	warfare
mortar	grinding
airplane	traveling
compact	transport
gas	burning
counter	space
friend	companionship
mug	tea
refuse	speak
ticket	inventory
toy	fun
foot	running
basketball	throw
gift	unexpected
shower	bathing
child	raising
eating	nourishment
soap	smelling
stranger	meeting
bicycle	rush
mouth	yelling
machine	refrigerate
soul	searching
text	stufying
wood	campfires
projectile	hit
flirting	fun
oar	rowing
lying	cowards
moon	eclipsing
razor	slicing
voice	communication
voice	humming
horn	entertainment
coil	snakes
creature	companionship
dancing	pleasure
lighter	ignite
painting	relaxing
sand	beaches
bookshelf	books
explosive	kill
dogma	tyrants
ice	chilling
armchair	resting
tree	climb
sky	admire
hole	entry
barbershop	shaving
cake	birthdays
jeans	fashion
level	measurement
story	entertainment
water	drown
column	vehicles
cup	hold
gas	farting
saxophone	blowing
snow	shoveling
wind	windsurfing
ball	play
caliper	measuring
gift	please
knife	notching
churchyard	headstones
knife	butter
saloon	beer
animal	petting
gun	kill
people	exploitation
rulers	measure
procreating	fun
felt	break
salsa	fun
rug	carpet
vacation	entertainment
highway	drive
garage	woodworking
bomber	launch
